Here goes the modlist. At the moment you'll have to go through each and download them. I'll ask for permissions later, once the pack is more complete. I doubt I'll get permission for everything, but I will try.



***** MOD LIST *****				***** VERSIONS *****

Advanced Solar Panels				AdvancedSolarPanel-1.7.10-3.5.1.jar
Advanced Health Options				AdvHealthOptions-1.7.10-1.5.1.11.jar
AFSU						AFSU-1.2.0a-Mustard.jar
Ars Magica 2					AM2-1.4.0.006.jar
Animation API					AnimationAPI-1.7.10-1.2.4.jar
AppleCore					AppleCore-mc1.7.10-1.0.2.jar
Applied Energistics 2 RV2			appliedenergistics2-rv2-beta-7.jar
ArchCraft-Core					ArchCraft-Core-1.1.0-6.jar
Archimede's Ships				ArchimedesShips-1.7.1.jar
AsieLib						AsieLib-1.7.10-0.3.8.jar
Backpack					backpack-2.0.1-1.7.x.jar
BD Lib						bdlib-mc1710-1.6.0.35.jar
Better Foliage (Optional.)			BetterFoliage-1.0.3.jar
Bibliocraft					BiblioCraft[v1.9.2][MC1.7.10].jar
BiblioWoods - Biomes O' Plenty			BiblioWoods[BiomesOPlenty][v1.9].jar
BiblioWoods - Forestry				BiblioWoods[Forestry][v1.7].jar
BiblioWoods - Natura				BiblioWoods[Natura][v1.5].jar
Binnie Mods					binnie-mods-2.0-pre2.jar
Biomes O' ¨Plenty				BiomesOPlenty-1.7.10-2.1.0.1036-universal.jar
Blocklings					Blocklings-v2.1.1-1.7.10.jar
Blood Magic					BloodMagic-1.7.10-1.3.0a-1.jar
Buildcraft					buildcraft-6.2.6.jar
Carpenter's Blocks				Carpenter's Blocks v3.3.4.2 - MC 1.7.10.jar
Chisel						Chisel 2-2.2.1.jar
Code Chicken Core				CodeChickenCore-1.7.10-1.0.4.29-universal.jar
COFH Lib					CoFHLib-[1.7.10]1.0.0B9-53-dev.jar
Compact Machines				compactmachines-1.7.10-1.13.jar
Computronics					Computronics-1.7.10-1.3.4.jar
CopyCore					copycore-1.7.10-1.5.1.7.jar
Coro Util					CoroUtil-1.1.1.jar
Dragon API					DragonAPI 1.7.10 V3d.jar
Eira IRC (Optional.)				eirairc-mc1.7.10-v1.7.52.jar
Electricraft					ElectriCraft 1.7.10 V3d.jar
Ender Storage					EnderStorage-1.7.10-1.4.5.27-universal.jar
EnviroMine (Physics Optional. Recommended.)	EnviroMine-v1.3.80.jar
Extra Cells 2 					ExtraCells-1.7.10-2.2.24b44.jar
Extra Utilities					extrautilities-1.2.1.jar
Fastcraft (Optional.)				fastcraft-1.12.jar
Forbidden Magic					Forbidden Magic-1.7.10-0.552.jar
Forestry					forestry_1.7.10-3.3.0.400-unstable.jar
GalacticGreg					GalacticGreg-0.5.jar
Galacticraft - Planets				Galacticraft-Planets-1.7-3.0.6.250.jar
Galacticraft Core				GalacticraftCore-1.7-3.0.6.250.jar
Gendustry					gendustry-fu-mc1710-1.4.4.7.jar
GraviSuite					GraviSuite-1.7.10-2.0.3.jar
Greg's Lighting					GregsLighting-1.11.1-mc1.7.10.jar
GregTech (Nah... Serious ?)			gregtech_1.7.10-5.07.06.jar
HQM (Disabled at the moment.)			HQM-The Journey (4.2.1).jar
Hunger Overhaul					HungerOverhaul-1.7.10-beta.4.jar
Nuclear Control 2				IC2NuclearControl-2.0.8c.jar
Iguana Tinker Tweaks				IguanaTinkerTweaks-1.7.10-2.1.1.jar
Immibis Core					immibis-core-59.0.5.jar
Industrial Craft 2 Experimental			industrialcraft-2-2.2.658-experimental.jar
Infernal Mobs					InfernalMobs-1.7.10.jar
Inventory Tweaks				InventoryTweaks-1.59-dev-152.jar
Iron Chests					ironchest-1.7.10-6.0.62.742-universal.jar
Iron Chests Minecarts				IronChestMinecarts-1.0.0.jar
JABBA						Jabba-1.2.0a_1.7.10.jar
Journey Map					JourneyMap5.0.1_FairPlay_MC1.7.10.jar
Little Maid Mob					littleMaidMobX-1.7.10_0.0.5.jar
Logistics Pipes					logisticspipes-0.8.2.89.jar
